series,series-href,title,mid,mid-href
"Kirby","http://www.ninsheetmusic.org/browse/series/Kirby","Kirby's Adventure","null",""
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Dry Dry Desert","","http://www.ninsheetmusic.org/download/mid/247"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Bouncy Wario","","http://www.ninsheetmusic.org/download/mid/1486"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Boss Battle","","http://www.ninsheetmusic.org/download/mid/874"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Ever Grande City","","http://www.ninsheetmusic.org/download/mid/987"
"Final Fantasy","http://www.ninsheetmusic.org/browse/series/FinalFantasy","Final Fantasy III","null",""
"Sonic","http://www.ninsheetmusic.org/browse/series/Sonic","Boss Battle","","http://www.ninsheetmusic.org/download/mid/195"
"Final Fantasy","http://www.ninsheetmusic.org/browse/series/FinalFantasy","Calm Before the Storm","","http://www.ninsheetmusic.org/download/mid/655"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Main Theme","","http://www.ninsheetmusic.org/download/mid/1962"
"Golden Sun","http://www.ninsheetmusic.org/browse/series/GoldenSun","Super Lucky Dice","","http://www.ninsheetmusic.org/download/mid/1819"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Rainbow Castle","","http://www.ninsheetmusic.org/download/mid/1712"
"Golden Sun","http://www.ninsheetmusic.org/browse/series/GoldenSun","Battle! [Non-Adept]","","http://www.ninsheetmusic.org/download/mid/3447"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Mayor's Office","","http://www.ninsheetmusic.org/download/mid/2158"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Battle! (Trainer Battle)","","http://www.ninsheetmusic.org/download/mid/1526"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Overworld","","http://www.ninsheetmusic.org/download/mid/118"
